Date;Town;Articlegroup;CustomerName;CustomerNo;Article;UnitPrice;Quantity;Amount;intArticleRow;intCustomerRow
2010-03-03;Paris;Hardware;Webstores Co.;10007;Desktop CPU 8 Core;249;1;249;5;8
2012-09-22;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2012-08-16;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2010-12-19;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2012-12-09;Tokio;Software;Dr. Foo;10003;PC Operating System;89;1;89;7;4
2012-09-10;London;Shipping;HAL Inc.;10002;Shipping until 12h;19,99;1;19,99;11;3
2010-11-13;Rom;Shipping;Taders Ldt.;10008;Shipping Normal;7,99;1;7,99;9;9
2013-05-19;London;Hardware;HAL Inc.;10002;PC Mouse USB;9,99;1;9,99;2;3
2012-06-29;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2012-11-12;Tokio;Software;Dr. Foo;10003;Server Operating System ;329;1;329;6;4
2013-07-14;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2011-06-06;Rom;Hardware;Taders Ldt.;10008;Tablet PC No. 1;499;1;499;3;9
2012-08-22;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2011-11-18;Berlin;Software;LCD Consulting;10001;Office Suite;789;1;789;8;2
2010-03-26;Rom;Hardware;Taders Ldt.;10008;Server CPU 16 Cores;649;1;649;4;9
2012-05-30;Tokio;Shipping;Dr. Foo;10003;Shipping Express;11,99;1;11,99;10;4
2011-08-19;Dublin;Software;Billing Service Co.;10005;Server Operating System ;329;1;329;6;6
2012-04-26;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2011-11-16;New York;Shipping;Amce Ldt.;10004;Shipping until 12h;19,99;1;19,99;11;5
2012-06-10;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2012-03-11;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2013-02-10;New York;Hardware;Amce Ldt.;10004;Server CPU 16 Cores;649;1;649;4;5
2012-06-13;Tokio;Shipping;Dr. Foo;10003;Shipping Express;11,99;1;11,99;10;4
2011-09-09;Berlin;Software;LCD Consulting;10001;Office Suite;789;1;789;8;2
2012-03-21;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2010-05-05;Rom;Hardware;Taders Ldt.;10008;PC Mouse USB;9,99;1;9,99;2;9
2012-01-19;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2012-03-10;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2011-05-06;New York;Software;Amce Ldt.;10004;Office Suite;789;1;789;8;5
2011-09-07;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2011-06-18;Dublin;Software;Billing Service Co.;10005;WebServer;99,99;1;99,99;12;6
2010-02-16;Kairo;Hardware;Inter Trade Inc.;10006;Tablet PC No. 1;499;1;499;3;7
2010-03-12;Paris;Shipping;Webstores Co.;10007;Shipping Express;11,99;1;11,99;10;8
2012-03-25;London;Software;HAL Inc.;10002;Server Operating System ;329;1;329;6;3
2013-02-22;London;Hardware;HAL Inc.;10002;PC Mouse USB;9,99;1;9,99;2;3
2012-07-28;London;Hardware;HAL Inc.;10002;Desktop CPU 8 Core;249;1;249;5;3
2012-07-15;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2012-05-07;Tokio;Hardware;Dr. Foo;10003;Desktop CPU 8 Core;249;1;249;5;4
2011-02-14;New York;Software;Amce Ldt.;10004;PC Operating System;89;1;89;7;5
2011-07-22;Tokio;Software;Dr. Foo;10003;Server Operating System ;329;1;329;6;4
2011-12-22;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2012-04-14;New York;Hardware;Amce Ldt.;10004;Desktop CPU 8 Core;249;1;249;5;5
2011-03-08;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2012-10-12;New York;Software;Amce Ldt.;10004;Server Operating System ;329;1;329;6;5
2013-10-22;Berlin;Hardware;LCD Consulting;10001;Tablet PC No. 1;499;1;499;3;2
2013-12-20;Rom;Hardware;Taders Ldt.;10008;Tablet PC No. 1;499;1;499;3;9
2011-05-21;Kairo;Shipping;Inter Trade Inc.;10006;Shipping until 12h;19,99;1;19,99;11;7
2012-08-29;London;Shipping;HAL Inc.;10002;Shipping Express;11,99;1;11,99;10;3
2010-01-02;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2012-04-16;Tokio;Software;Dr. Foo;10003;Server Operating System ;329;1;329;6;4
2013-06-14;New York;Hardware;Amce Ldt.;10004;Tablet PC No. 1;499;1;499;3;5
2013-03-03;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2011-03-06;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2013-06-23;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2013-08-26;Kairo;Software;Inter Trade Inc.;10006;Server Operating System ;329;1;329;6;7
2011-11-08;London;Software;HAL Inc.;10002;WebServer;99,99;1;99,99;12;3
2011-03-22;London;Shipping;HAL Inc.;10002;Shipping Normal;7,99;1;7,99;9;3
2011-10-06;Dublin;Software;Billing Service Co.;10005;Office Suite;789;1;789;8;6
2012-10-19;Dublin;Software;Billing Service Co.;10005;Server Operating System ;329;1;329;6;6
2011-11-16;Tokio;Software;Dr. Foo;10003;Server Operating System ;329;1;329;6;4
2011-11-11;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Normal;7,99;1;7,99;9;7
2011-12-02;New York;Hardware;Amce Ldt.;10004;Tablet PC No. 1;499;1;499;3;5
2012-11-20;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2013-10-04;London;Software;HAL Inc.;10002;PC Operating System;89;1;89;7;3
2012-07-09;Tokio;Software;Dr. Foo;10003;Office Suite;789;1;789;8;4
2012-09-22;Tokio;Hardware;Dr. Foo;10003;Desktop CPU 8 Core;249;1;249;5;4
2011-03-20;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2012-12-24;Paris;Software;Webstores Co.;10007;Server Operating System ;329;1;329;6;8
2013-11-07;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2011-02-19;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2011-06-10;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2010-03-04;Berlin;Software;LCD Consulting;10001;PC Operating System;89;1;89;7;2
2011-10-17;Dublin;Hardware;Billing Service Co.;10005;Server CPU 16 Cores;649;1;649;4;6
2013-09-04;Rom;Software;Taders Ldt.;10008;Server Operating System ;329;1;329;6;9
2012-02-03;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2011-08-23;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2011-04-02;New York;Software;Amce Ldt.;10004;Server Operating System ;329;1;329;6;5
2010-09-02;London;Hardware;HAL Inc.;10002;Desktop CPU 8 Core;249;1;249;5;3
2011-09-18;Rom;Hardware;Taders Ldt.;10008;Tablet PC No. 1;499;1;499;3;9
2013-12-29;Dublin;Software;Billing Service Co.;10005;Office Suite;789;1;789;8;6
2012-06-05;Tokio;Shipping;Dr. Foo;10003;Shipping until 12h;19,99;1;19,99;11;4
2013-08-15;New York;Hardware;Amce Ldt.;10004;Desktop CPU 8 Core;249;1;249;5;5
2011-08-10;Rom;Hardware;Taders Ldt.;10008;Server CPU 16 Cores;649;1;649;4;9
2012-08-20;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2011-07-19;Paris;Shipping;Webstores Co.;10007;Shipping Normal;7,99;1;7,99;9;8
2011-01-21;Tokio;Hardware;Dr. Foo;10003;PC Mouse USB;9,99;1;9,99;2;4
2013-12-20;London;Software;HAL Inc.;10002;WebServer;99,99;1;99,99;12;3
2013-07-22;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Express;11,99;1;11,99;10;7
2010-06-02;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2012-02-29;Paris;Software;Webstores Co.;10007;Office Suite;789;1;789;8;8
2010-11-18;London;Hardware;HAL Inc.;10002;Desktop CPU 8 Core;249;1;249;5;3
2013-01-02;Dublin;Shipping;Billing Service Co.;10005;Shipping Express;11,99;1;11,99;10;6
2013-02-18;Paris;Hardware;Webstores Co.;10007;Server CPU 16 Cores;649;1;649;4;8
2011-05-10;Dublin;Software;Billing Service Co.;10005;Office Suite;789;1;789;8;6
2010-08-11;Kairo;Hardware;Inter Trade Inc.;10006;Desktop CPU 8 Core;249;1;249;5;7
2011-02-20;New York;Shipping;Amce Ldt.;10004;Shipping Normal;7,99;1;7,99;9;5
2011-09-15;Kairo;Software;Inter Trade Inc.;10006;WebServer;99,99;1;99,99;12;7
2011-06-10;Paris;Shipping;Webstores Co.;10007;Shipping until 12h;19,99;1;19,99;11;8
2011-02-13;New York;Hardware;Amce Ldt.;10004;Desktop CPU 8 Core;249;1;249;5;5
2012-04-02;Rom;Shipping;Taders Ldt.;10008;Shipping Express;11,99;1;11,99;10;9
2013-10-23;Kairo;Hardware;Inter Trade Inc.;10006;Desktop CPU 8 Core;249;1;249;5;7
2012-11-16;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2013-08-16;London;Hardware;HAL Inc.;10002;PC Mouse USB;9,99;1;9,99;2;3
2010-09-11;Rom;Hardware;Taders Ldt.;10008;Tablet PC No. 1;499;1;499;3;9
2011-03-16;Tokio;Shipping;Dr. Foo;10003;Shipping Express;11,99;1;11,99;10;4
2011-07-12;London;Hardware;HAL Inc.;10002;Tablet PC No. 1;499;1;499;3;3
2010-09-23;Paris;Hardware;Webstores Co.;10007;Tablet PC No. 1;499;1;499;3;8
2010-02-22;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2012-08-20;New York;Hardware;Amce Ldt.;10004;PC Mouse USB;9,99;1;9,99;2;5
2011-01-03;Dublin;Shipping;Billing Service Co.;10005;Shipping until 12h;19,99;1;19,99;11;6
2011-03-18;London;Shipping;HAL Inc.;10002;Shipping until 12h;19,99;1;19,99;11;3
2011-11-10;Paris;Software;Webstores Co.;10007;PC Operating System;89;1;89;7;8
2011-12-09;Kairo;Software;Inter Trade Inc.;10006;PC Operating System;89;1;89;7;7
2013-08-27;Kairo;Shipping;Inter Trade Inc.;10006;Shipping Express;11,99;1;11,99;10;7
2012-06-15;Berlin;Shipping;LCD Consulting;10001;Shipping Normal;7,99;1;7,99;9;2
2010-02-14;London;Software;HAL Inc.;10002;Office Suite;789;1;789;8;3
2010-09-30;Paris;Shipping;Webstores Co.;10007;Shipping Express;11,99;1;11,99;10;8
2012-12-15;Tokio;Shipping;Dr. Foo;10003;Shipping Normal;7,99;1;7,99;9;4
2012-05-18;Paris;Hardware;Webstores Co.;10007;Desktop CPU 8 Core;249;1;249;5;8
2013-04-20;New York;Software;Amce Ldt.;10004;WebServer;99,99;1;99,99;12;5
2013-09-10;Tokio;Shipping;Dr. Foo;10003;Shipping Express;11,99;1;11,99;10;4
2011-10-04;Berlin;Shipping;LCD Consulting;10001;Shipping until 12h;19,99;1;19,99;11;2
2012-04-07;Dublin;Shipping;Billing Service Co.;10005;Shipping Normal;7,99;1;7,99;9;6
2012-12-25;Rom;Software;Taders Ldt.;10008;PC Operating System;89;1;89;7;9
2010-03-21;Paris;Hardware;Webstores Co.;10007;PC Mouse USB;9,99;1;9,99;2;8
2012-08-01;Berlin;Software;LCD Consulting;10001;WebServer;99,99;1;99,99;12;2
2010-09-25;Kairo;Software;Inter Trade Inc.;10006;Office Suite;789;1;789;8;7
2012-02-19;London;Software;HAL Inc.;10002;PC Operating System;89;1;89;7;3
2012-03-05;London;Hardware;HAL Inc.;10002;Server CPU 16 Cores;649;1;649;4;3
2011-04-09;Tokio;Shipping;Dr. Foo;10003;Shipping until 12h;19,99;1;19,99;11;4
2012-01-18;New York;Software;Amce Ldt.;10004;WebServer;99,99;1;99,99;12;5
2013-07-25;London;Software;HAL Inc.;10002;Office Suite;789;1;789;8;3
2013-03-20;Kairo;Hardware;Inter Trade Inc.;10006;Server CPU 16 Cores;649;1;649;4;7
2010-05-12;Rom;Hardware;Taders Ldt.;10008;Desktop CPU 8 Core;249;1;249;5;9
2011-09-12;Rom;Software;Taders Ldt.;10008;Server Operating System ;329;1;329;6;9
2012-11-08;Tokio;Shipping;Dr. Foo;10003;Shipping until 12h;19,99;1;19,99;11;4
2012-09-14;Berlin;Hardware;LCD Consulting;10001;Server CPU 16 Cores;649;1;649;4;2
2011-11-23;London;Shipping;HAL Inc.;10002;Shipping until 12h;19,99;1;19,99;11;3
